received,confirmed,name,nom_count,agency,duplicate,committee,latest_action,latest_action_date,potus,desc
1/20/17,yes,Jeff Sessions,1,Department of Justice,no,Judiciary,Confirmed by the Senate by Yea-Nay Vote. 52, 02/08/2017,Obama,"Jeff Sessions, of Alabama, to be Attorney General."
6/20/17,no,Patrick Pizzella,1,Department of Labor,no,"Health, Education, Labor, and Pensions","Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions. (", 06/20/2017,Obama,"Patrick Pizzella, of Virginia, to be Deputy Secretary of Labor, vice Christopher P. Lu, resigned."
3/7/17,yes,R. Alexander Acosta,1,Department of Labor,no,"Health, Education, Labor, and Pensions",Confirmed by the Senate by Yea-Nay Vote. 60, 04/27/2017,Obama,"R. Alexander Acosta, of Florida, to be Secretary of Labor."
1/20/17,no,Andrew F. Puzder,1,Department of Labor,no,"Health, Education, Labor, and Pensions",Received message of withdrawal of nomination from the President. (, 02/28/2017,Obama,"Andrew F. Puzder, of Tennessee, to be Secretary of Labor."
6/26/17,no,Carl C. Risch,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/26/2017,Obama,"Carl C. Risch, of Pennsylvania, to be an Assistant Secretary of State (Consular Affairs), vice Michele Thoren Bond."
6/26/17,no,Jamie McCourt,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/26/2017,Obama,"Jamie McCourt, of California, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Kingdom of Belgium."
6/26/17,no,Robert Wood Johnson IV,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/26/2017,Obama,"Robert Wood Johnson IV, of New York, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the United Kingdom of Great Britain and Northern Ireland."
6/26/17,no,Kelley Eckels Currie,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/26/2017,Obama,"Kelley Eckels Currie, of Georgia, to be Representative of the United States of America on the Economic and Social Council of the United Nations, with the rank of Ambassador."
6/26/17,no,John P. Desrocher,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/26/2017,Obama,"John P. Desrocher, of New York, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the People's Democratic Republic of Algeria."
6/26/17,no,Maria E. Brewer,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/26/2017,Obama,"Maria E. Brewer, of Indiana, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Sierra Leone."
6/19/17,no,George Edward Glass,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/19/2017,Obama,"George Edward Glass, of Oregon, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Portuguese Republic."
6/15/17,no,Eric M. Ueland,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/15/2017,Obama,"Eric M. Ueland, of Oregon, to be an Under Secretary of State (Management), vice Patrick Francis Kennedy."
6/15/17,no,Nathan Alexander Sales,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/15/2017,Obama,"Nathan Alexander Sales, of Ohio, to be Coordinator for Counterterrorism, with the rank and status of Ambassador at Large, vice Tina S. Kaidanow, resigned."
6/15/17,no,Kathleen Troia McFarland,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/15/2017,Obama,"Kathleen Troia McFarland, of New York, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Singapore."
6/15/17,no,Sharon Day,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/15/2017,Obama,"Sharon Day, of Florida, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Costa Rica."
6/15/17,no,Kelly Knight Craft,1,Department of State,no,Foreign Relations,Received in the Senate and referred to the Committee on Foreign Relations. (, 06/15/2017,Obama,"Kelly Knight Craft, of Kentucky, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to Canada."
