received,confirmed,name,nom_count,agency,duplicate,committee,latest_action,latest_action_date,potus,desc
5/8/17,no,David Ryan Stras,1,The Judiciary,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 05/08/2017,Obama,"David Ryan Stras, of Minnesota, to be United States Circuit Judge for the Eighth Circuit, vice Diana E. Murphy, retired."
5/8/17,no,Damien Michael Schiff,1,The Judiciary,no,Judiciary,Committee on the Judiciary. Hearings held. (, 06/14/2017,Obama,"Damien Michael Schiff, of California, to be a Judge of the United States Court of Federal Claims for a term of fifteen years, vice George W. Miller, retired."
5/8/17,no,Scott L. Palk,1,The Judiciary,no,Judiciary,Placed on Senate Executive Calendar. Calendar No. 117. (, 06/15/2017,Obama,"Scott L. Palk, of Oklahoma, to be United States District Judge for the Western District of Oklahoma, vice Stephen P. Friot, retired."
5/8/17,no,David C. Nye,1,The Judiciary,no,Judiciary,Placed on Senate Executive Calendar. Calendar No. 116. (, 06/15/2017,Obama,"David C. Nye, of Idaho, to be United States District Judge for the District of Idaho, vice Edward J. Lodge, retired."
5/8/17,no,Kevin Christopher Newsom,1,The Judiciary,no,Judiciary,Committee on the Judiciary. Hearings held. (, 06/14/2017,Obama,"Kevin Christopher Newsom, of Alabama, to be United States Circuit Judge for the Eleventh Circuit, vice Joel F. Dubina, retired."
5/8/17,no,Joan Louise Larsen,1,The Judiciary,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 05/08/2017,Obama,"Joan Louise Larsen, of Michigan, to be United States Circuit Judge for the Sixth Circuit, vice David W. McKeague, retired."
5/8/17,no,John Kenneth Bush,1,The Judiciary,no,Judiciary,Committee on the Judiciary. Hearings held. (, 06/14/2017,Obama,"John Kenneth Bush, of Kentucky, to be United States Circuit Judge for the Sixth Circuit, vice Danny J. Boggs, retired."
5/8/17,no,Amy Coney Barrett,1,The Judiciary,no,Judiciary,Received in the Senate and referred to the Committee on the Judiciary. (, 05/08/2017,Obama,"Amy Coney Barrett, of Indiana, to be United States Circuit Judge for the Seventh Circuit, vice John Daniel Tinder, retired."
3/21/17,yes,Amul R. Thapar,1,The Judiciary,no,Judiciary,Confirmed by the Senate by Yea-Nay Vote. 52, 05/25/2017,Obama,"Amul R. Thapar, of Kentucky, to be United States Circuit Judge for the Sixth Circuit, vice Boyce F. Martin Jr., retired."
3/9/17,no,Jonathan H. Pittman,1,The Judiciary,no,Homeland Security and Governmental Affairs,Received in the Senate and referred to the Committee on Homeland Security and Governmental Affairs. (, 03/09/2017,Obama,"Jonathan H. Pittman, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years, vice Jeanette J. Clark, retired."
5/10/17,no,Mark Andrew Green,1,United States Agency for International Development,no,Foreign Relations,Committee on Foreign Relations. Hearings held. (, 06/15/2017,Obama,"Mark Andrew Green, of Wisconsin, to be Administrator of the United States Agency for International Development, vice Gayle Smith."
3/1/17,yes,Charles R. Breyer,1,United States Sentencing Commission,no,Judiciary,Confirmed by the Senate by Yea-Nay Vote. 98, 03/21/2017,Obama,"Charles R. Breyer, of California, to be a Member of the United States Sentencing Commission for a term expiring October 31, 2021.  (Reappointment)"
3/1/17,yes,Danny C. Reeves,1,United States Sentencing Commission,no,Judiciary,Confirmed by the Senate by Yea-Nay Vote. 98, 03/21/2017,Obama,"Danny C. Reeves, of Kentucky, to be a Member of the United States Sentencing Commission for a term expiring October 31, 2019, vice Ricardo H. Hinojosa, term expired."
